Title,Published Date,Sentiment Score,Sentiment_negative,Sentiment_neutral,Sentiment_positive
Infosys lateral hiring: IT giant plans to recruit experienced tech workers across over 40 skill sets,2025-03-20,0.7392269968986511,False,False,True
Infosys to hold trainee assessment on March 18 after postponement,2025-03-13,0.9251154065132141,False,True,False
Extra work from home days at Infosys needs manager’s nod: Report,2025-03-13,0.9006239771842957,False,True,False
"Infosys tweaks the ‘10-day-work from office’ policy, sends an email saying: Starting March 10, system int",2025-03-07,0.9285240769386292,False,True,False
"Accenture revenue forecast hits IT stocks, Infosys, Wipro fall",2025-03-21,0.7155849933624268,False,True,False
"Infosys, Wipro ADRs drop over 3% on NYSE after Accenture hikes full-year revenue guidance to 5-7% on AI boom",2025-03-20,0.9694066047668457,True,False,False
"Infosys Share Price Highlights : Infosys closed today at ₹1592.60, down -1.34% from yesterday's ₹1614.15 | Stock Market News",2025-03-21,0.9743289947509766,True,False,False
"Accenture Q2 effect: Wipro, Infosys, TCS, Tech Mahindra, HCL Tech shares fall in early deals",2025-03-21,0.9690220952033997,True,False,False
"How Trump tariffs may affect TCS and Infosys, as per Moody's",2025-03-17,0.6726619005203247,False,True,False
"Infosys, TCS, other IT shares rise as Fed chair Powell assures on growth, maintains 2025 rate cut view",2025-03-20,0.6480035185813904,False,False,True
Where Will Infosys be in the Next 10 Years?,2025-03-20,0.9417694807052612,False,True,False
"Infosys to recruit tech experts in Java, Python, AI & cloud under lateral hiring drive",2025-03-20,0.5800179243087769,False,False,True
"Infosys, TCS and HCL Tech shares shed up to 3% after Accenture results dampen sentiment",2025-03-21,0.9729275107383728,True,False,False
"Accenture Q2, Wipro, Infosys, TCS Share Price Highlights: Infosys & Wipro end in red, TCS ends flat",2025-03-21,0.8409692049026489,True,False,False
"TCS, Wipro, Infosys, Other IT Stocks Fall As Accenture Guidance Signals Tough Times Ahead",2025-03-21,0.9644453525543213,True,False,False
Infosys hiring experienced techies in these 40-plus skills,2025-03-20,0.6220580339431763,False,False,True
"Infosys, HCL Tech, LTIMindtree, TCS, Coforge: IT shares top gainers today; here's why",2025-03-20,0.6187130212783813,False,True,False
"Infosys, TCS, HCLTech gain up to 2%: Why are IT stocks rising today?",2025-03-20,0.8036208152770996,False,False,True
"Infosys shares decline almost 4% after Morgan Stanley downgrades stock, cuts target price",2025-03-12,0.9703651666641235,True,False,False
Infosys wants employees to come to office for 10 days a month; ‘system interventions’ to put cap on WFH days,2025-03-07,0.8325366973876953,False,True,False
"Infosys, Wipro ADRs crash over 3% on NYSE after Accenture’s revenue forecast. Here’s why…",2025-03-21,0.6820246577262878,True,False,False
Infosys Faces Evaluation Score Adjustment Amid Mixed Technical Indicators and Strong Fundamentals,2025-03-20,0.808544397354126,True,False,False
Why are Infosys and Cognizant in a legal tussle?,2025-03-01,0.703191339969635,True,False,False
"TCS, Infosys, Wipro rally up to 3% as dovish Fed outlook lifts Indian IT stocks",2025-03-20,0.6844493746757507,False,False,True
"Infosys, Wipro Other IT Stocks Rise After US Fed Projects Two More Rate Cuts This Year",2025-03-20,0.6530094146728516,False,False,True
Infrastructure Services,2025-03-19,0.9316241145133972,False,True,False
Infosys among top Indian beneficiaries of H-1B Visas in 2024: USCIS,2025-03-25,0.8738824129104614,False,True,False
Infosys rolls out ‘system intervention’ to ensure minimum 10-day work from office per month: Report,2025-03-06,0.923069953918457,False,True,False
Infosys has plunged 16% in 2025: 5 key factors investors need to know ahead of Q4 earnings,2025-03-17,0.47731301188468933,False,True,False
‘System intervention’: What Infosys is doing to ensure 10-day work from office by employees,2025-03-06,0.9186921119689941,False,True,False
"Infosys, TCS, Wipro: IT stocks trade mixed after Accenture Q2 results, earnings call; check key details",2025-03-21,0.5184112787246704,True,False,False
"HCL Tech CEO: Time is up for Indian IT industry's 30-year-old business model; Infosys CEO agrees, says in",2025-03-05,0.7815402746200562,False,False,True
Narayan Murthy's 70-hour workweek remark: Doctor explains why working long hours feels different to Infosys co-founder,2025-03-25,0.832617998123169,False,True,False
Infosys makes 600 campus offers for the centre it was accused of 'betrayal at its best' by BJP MLA in Kar,2025-03-06,0.8297407627105713,True,False,False
"Infosys, Wipro, Coforge, TCS, KPIT shares drop up to 6% today; stocks to buy",2025-03-12,0.97097247838974,True,False,False
"Infosys, Wipro, TCS, Other IT Stocks Fall Over 2% As Accenture Narrows FY25 Growth Outlook",2025-03-21,0.9680653810501099,True,False,False
"Stocks in news: Bajaj Finance, Jio Financial, Adani Enterprises, Infosys, TCS",2025-03-21,0.9415591955184937,False,True,False
"Bad news for this IT company employees, mass layoffs due to..., not Narayana Murthy's Infosys, Ratan Tata's T",2025-03-21,0.967627227306366,True,False,False
"Infosys, TCS, Wipro: Why are major IT stocks falling today?",2025-03-12,0.961061954498291,True,False,False
"IT Slowdown To Continue: Analysts Say Wipro, TCS, Infosys To See Muted Growth In FY26",2025-03-22,0.9629660248756409,True,False,False
"Infosys' Narayana Murthy calls out artificial intelligence hype in India: ‘Silly, old programmes’",2025-03-13,0.5414094924926758,False,True,False
Infosys cofounder Narayana Murthy: Somehow it has become a fashion in India to ...,2025-03-18,0.7510849833488464,False,True,False
Former Infosys CFO Mohandas Pai lashes out at IndiGo’s ‘shoddy service’: ‘Same snack masquerading as dinner…’,2025-03-20,0.5587261915206909,False,True,False
"Infosys ADRs drop 2.34% to $18.14, Wipro down 1.14% to $3.035",2025-03-21,0.9712347388267517,True,False,False
"Bad news for Infosys as Narayana Murthy's company loses Rs 44227 crore due to...., ICICI Bank....",2025-03-15,0.9711714386940002,True,False,False
"THIS Tech Giant Topped H-1B Approvals In 2024— It’s Not Infosys, TCS, Or Microsoft",2025-03-23,0.91058748960495,False,True,False
